date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:53	775163/775163	---MCZ	200	added ('OK')	text/html	etag:W/%2246cd7c3fe2ca4996b0284c6ca9868683%22	https://www.zoe-vn.com/collections/best-seller	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/best-seller.html	(from https://www.zoe-vn.com/collections/all)
15:09:54	780075/780075	---MCZ	200	added ('OK')	text/html	etag:W/%22da3f1f7ca532411ea37dba2b2a5a5ae0%22	https://www.zoe-vn.com/collections/vai-linen	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/vai-linen.html	(from https://www.zoe-vn.com/collections/all)
15:10:03	19839/19839	---MCZ	200	added ('OK')	application/javascript	etag:W/%22928f4be5749e6091bdd50b24c97f2280%22	http://hstatic.net/0/0/global/option_selection.js	C:/Users/pc/Desktop/chim/hstatic.net/0/0/global/option_selection.js	(from https://www.zoe-vn.com/collections/all)
15:10:07	771774/771774	---MCZ	200	added ('OK')	text/html	etag:W/%22da660c3dd7a34541afe6efdbb015890e%22	https://www.zoe-vn.com/collections/chat-lieu-da	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/chat-lieu-da.html	(from https://www.zoe-vn.com/collections/all)
15:10:08	769604/769604	---MCZ	200	added ('OK')	text/html	etag:W/%221ce3db996a20436f9d5d684a3b50117e%22	https://www.zoe-vn.com/collections/vai-canvas	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/vai-canvas.html	(from https://www.zoe-vn.com/collections/all)
15:10:18	500156/500156	---M--	200	added ('OK')	image/png	etag:%226054f7eb4a52b3dba9a5bb35cf8a6ead%22	http://theme.hstatic.net/1000271846/1001087843/14/share_fb_home.png?v=108	C:/Users/pc/Desktop/chim/theme.hstatic.net/1000271846/1001087843/14/share_fb_home1147.png	(from https://www.zoe-vn.com/collections/all)
15:10:19	765702/765702	---MCZ	200	added ('OK')	text/html	etag:W/%22a3a54eef6e3548bbbe20609425b74273%22	https://www.zoe-vn.com/collections/mule-1	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/mule-1.html	(from https://www.zoe-vn.com/collections/all)
15:10:19	765163/765163	---MCZ	200	added ('OK')	text/html	etag:W/%220a642c6e43cb4d14a2695ec2ec9842cc%22	https://www.zoe-vn.com/collections/sponge-monogram	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/sponge-monogram.html	(from https://www.zoe-vn.com/collections/all)
15:10:20	764317/764317	---MCZ	200	added ('OK')	text/html	etag:W/%22ce43b32f560f4a1fa11fedec18c6a419%22	https://www.zoe-vn.com/collections/zebra-high-zoe	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/zebra-high-zoe.html	(from https://www.zoe-vn.com/collections/all)
15:10:21	782181/782181	---MCZ	200	added ('OK')	text/html	etag:W/%22ea059207baed468b896adafd249ba737%22	https://www.zoe-vn.com/collections/ao-croptop-zoe	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/ao-croptop-zoe.html	(from https://www.zoe-vn.com/collections/all)
15:10:22	775730/775730	---MCZ	200	added ('OK')	text/html	etag:W/%22e9d70240baed4cc2b2d96f72a6fc21ca%22	https://www.zoe-vn.com/collections/ao-t-shirts-zoe	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/ao-t-shirts-zoe.html	(from https://www.zoe-vn.com/collections/all)
15:10:22	759281/759281	---MCZ	200	added ('OK')	text/html	etag:W/%2262c4424c274b4e37bd0f7a461fbbc4c4%22	https://www.zoe-vn.com/collections/quan-shorts	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/quan-shorts.html	(from https://www.zoe-vn.com/collections/all)
15:10:23	783581/783581	---MCZ	200	added ('OK')	text/html	etag:W/%221c55325125d54e14a150d5eb9448e32a%22	https://www.zoe-vn.com/collections/phu-kien	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/phu-kien.html	(from https://www.zoe-vn.com/collections/all)
15:10:24	763466/763466	---MCZ	200	added ('OK')	text/html	etag:W/%227edd21a8f86a43549d76d951b24ad53b%22	https://www.zoe-vn.com/collections/new-designs	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/new-designs.html	(from https://www.zoe-vn.com/collections/all)
15:10:25	766219/766219	---MCZ	200	added ('OK')	text/html	etag:W/%223595920c6e2b47248e9a4be21dcf9141%22	https://www.zoe-vn.com/collections/zoe-summer-collection-2023	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/zoe-summer-collection-2023.html	(from https://www.zoe-vn.com/collections/all)
15:10:25	757272/757272	---MCZ	200	added ('OK')	text/html	etag:W/%2299cace5a152a47e88e7191b7be15d95b%22	https://www.zoe-vn.com/collections/giay-theu	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/giay-theu.html	(from https://www.zoe-vn.com/collections/all)
15:10:26	269/269	---M--	200	added ('OK')	image/jpeg	etag:%22f3468a515ce1442487db21aad09ca171%22	http://theme.hstatic.net/1000271846/1001087843/14/1x1.jpg?v=108	C:/Users/pc/Desktop/chim/theme.hstatic.net/1000271846/1001087843/14/1x11147.jpg	(from https://www.zoe-vn.com/collections/all)
15:10:36	768772/768772	---MCZ	200	added ('OK')	text/html	etag:W/%222c8bfbeeb7f145ea9b0fd067a6905c69%22	https://www.zoe-vn.com/collections/back-to-school-1	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/back-to-school-1.html	(from https://www.zoe-vn.com/collections/all)
15:10:38	728233/728233	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22e1433b60225a4497bf8517b98b430a27%22	https://www.zoe-vn.com/collections/filter=	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/filter=	(from https://www.zoe-vn.com/collections/all)
